Influencer_ID,Influencer_Name,Platform,Influencer_Tier,Followers,Avg_Likes,Avg_Comments,Avg_Shares,Campaign_ID,Campaign_Cost,Revenue,ROI,Campaign_Type
INF0001,Influencer_1,YouTube,Macro,122958,10044,778,413,CAM00001,3142,10791,2.43,Giveaway
INF0001,Influencer_1,Instagram,Macro,522430,7955,1431,270,CAM00002,180,"$6,770 ",36.61,Promotion
INF0001,Influencer_1,YouTube,Macro,788201,59099,11275,592,CAM00003,1234,49952,39.48,Giveaway
INF0001,Influencer_1,YouTube,Mega,422909,4498,240,139,CAM00004,2608,5828,1.23,Product Launch
INF0001,Influencer_1,TikTok,Mega,655811,64032,5437,872,CAM00005,3055,46188,14.12,Promotion
INF0002,Influencer_2,TikTok,Micro,320030,31520,3782,1399,CAM00006,696,25113,35.08,Promotion
INF0002,Influencer_2,YouTube,Macro,474254,5308,1015,172,CAM00007,2091,8432,3.03,Giveaway
INF0002,Influencer_2,YouTube,Micro,69148,2128,183,79,CAM00008,2606,12570,3.82,Promotion
INF0002,Influencer_2,Instagram,Micro,107530,9875,877,360,CAM00009,3123,14509,3.65,Promotion
INF0002,Influencer_2,TikTok,Micro,765469,45318,3522,2210,CAM00010,211,32842,154.65,Product Launch
INF0003,Influencer_3,Instagram,Macro,624587,39855,7503,539,CAM00011,3848,43202,10.23,Product Launch
 INF0003 ,Influencer_3,TikTok,Mega,580879,49960,8098,1578, CAM00012 ,4937,50677,9.26,Promotion
INF0003,Influencer_3,Instagram,Nano,743139,48031,4390,1049,CAM00013,3934,35985,8.15,Giveaway
INF0003,Influencer_3,Instagram,Nano,303918,14620,1596,317,CAM00014,441,12005,26.22,Giveaway
INF0003,Influencer_3,Instagram,Micro,130312,8409,1588,303,CAM00015,3149,20997,5.67,Product Launch
INF0004,Influencer_4,TikTok,Micro,31535,1590,102,39,CAM00016,3695,8280,1.24,Giveaway
INF0004,Influencer_4,YouTube,Nano,490570,31012,2828,1006,CAM00017,2740,32510,10.86,Product Launch
INF0004,Influencer_4,YouTube,Macro,624094,49544,6146,1531,CAM00018,1534,39212,24.56,Promotion
INF0004,Influencer_4,TikTok,Micro,51015,3432,333,104,CAM00019,1807,4459,1.47,Product Launch
INF0004,Influencer_4,TikTok,Nano,728270,34180,5582,654,CAM00020,1772,33197,17.73,Promotion
INF0005,Influencer_5,Instagram,Macro,416515,39016,6680,1378,CAM00021,2743,39290,13.32,Giveaway
