sno,Influencer_ID,Influencer_Name,Platform,Influencer_Tier,Followers,Likes,Comments,Shares,Campaign_ID,Campaign_Cost,Revenue,Campaign_Type,Total_Engagement,Engagement_Rate,Calculated_ROI,CPE,Data_Status,Is_Undervalued_Influencer
1,INF0014,Influencer_14,Facebook,Mega,552638,9067,887,397,CAM00069,1675,10062,Giveaway,10351,0.0187,5.0072,0.1618,Verified,No
2,INF0001,Influencer_1,Youtube,Macro,122958,10044,778,413,CAM00001,3142,10791,Giveaway,11235,0.0914,2.4344,0.2797,Verified,No
3,INF0001,Influencer_1,Instagram,Macro,522430,7955,1431,270,CAM00002,180,6770,Promotion,9656,0.0185,36.6111,0.0186,Verified,Yes
7,INF0015,Influencer_15,Instagram,Mega,532831,40578,6919,863,CAM00071,3515,40849,Promotion,48360,0.0908,10.6213,0.0727,Verified,No
9,INF0041,Influencer_41,Youtube,Nano,456699,45460,3458,1175,CAM00205,2787,37820,Product Launch,50093,0.1097,12.5701,0.0556,Verified,No
10,INF0015,Influencer_15,Youtube,Macro,401573,24322,2086,904,CAM00073,2376,26353,Giveaway,27312,0.068,10.0913,0.087,Verified,No
11,INF0001,Influencer_1,Facebook,Mega,655811,64032,5437,872,CAM00005,3055,46188,Promotion,70341,0.1073,14.1188,0.0434,Verified,No
14,INF0016,Influencer_16,Youtube,Micro,60163,5745,1106,189,CAM00076,2492,5395,Product Launch,7040,0.117,1.1649,0.354,Verified,No
15,INF0016,Influencer_16,Instagram,Micro,628083,24859,3750,996,CAM00077,3272,33186,Giveaway,29605,0.0471,9.1424,0.1105,Verified,No
16,INF0002,Influencer_2,Facebook,Micro,320030,31520,3782,1399,CAM00006,696,25113,Promotion,36701,0.1147,35.0819,0.019,Verified,Yes
17,INF0016,Influencer_16,Facebook,Micro,788494,14357,1782,176,CAM00078,3344,12716,Giveaway,16315,0.0207,2.8026,0.205,Verified,No
18,INF0002,Influencer_2,Youtube,Macro,474254,5308,1015,172,CAM00007,2091,8432,Giveaway,6495,0.0137,3.0325,0.3219,Verified,No
20,INF0002,Influencer_2,Instagram,Micro,107530,9875,877,360,CAM00009,3123,14509,Promotion,11112,0.1033,3.6459,0.281,Verified,No
22,INF0042,Influencer_42,Facebook,Macro,375999,34129,4078,1191,CAM00206,942,28310,Product Launch,39398,0.1048,29.0531,0.0239,Verified,Yes
24,INF0042,Influencer_42,Youtube,Nano,328304,4594,816,52,CAM00208,2493,23261,Giveaway,5462,0.0166,8.3305,0.4564,Verified,No
27,INF0043,Influencer_43,Youtube,Micro,126991,11360,1447,525,CAM00211,1641,14610,Promotion,13332,0.105,7.9031,0.1231,Verified,No
30,INF0003,Influencer_3,Instagram,Macro,624587,39855,7503,539,CAM00011,3848,43202,Product Launch,47897,0.0767,10.2271,0.0803,Verified,No
31,INF0003,Influencer_3,Facebook,Mega,580879,49960,8098,1578,CAM00012,4937,50677,Promotion,59636,0.1027,9.2647,0.0828,Verified,No
32,INF0043,Influencer_43,Facebook,Micro,334863,20398,1836,920,CAM00212,2433,23218,Promotion,23154,0.0691,8.543,0.1051,Verified,No
33,INF0017,Influencer_17,Facebook,Macro,518313,30951,563,444,CAM00081,1438,9338,Giveaway,31958,0.0617,5.4937,0.045,Verified,No
35,INF0017,Influencer_17,Instagram,Macro,239067,7483,1392,251,CAM00082,1877,10448,Promotion,9126,0.0382,4.5663,0.2057,Verified,No
36,INF0043,Influencer_43,Instagram,Macro,491042,43239,6756,1880,CAM00213,1766,41801,Product Launch,51875,0.1056,22.6699,0.034,Verified,Yes
42,INF0004,Influencer_4,Facebook,Micro,31535,1590,102,39,CAM00016,3695,8280,Giveaway,1731,0.0549,1.2409,2.1346,Verified,No
44,INF0004,Influencer_4,Youtube,Nano,490570,31012,2828,1006,CAM00017,2740,32510,Product Launch,34846,0.071,10.865,0.0786,Verified,No
45,INF0018,Influencer_18,Facebook,Nano,329184,14397,1336,644,CAM00086,183,11242,Promotion,16377,0.0498,60.4317,0.0112,Verified,Yes
51,INF0069,Influencer_69,Youtube,Nano,804585,51629,7091,2061,CAM00341,1361,45029,Product Launch,60781,0.0755,32.0852,0.0224,Verified,Yes
52,INF0005,Influencer_5,Instagram,Macro,416515,39016,6680,1378,CAM00021,2743,39290,Giveaway,47074,0.113,13.3237,0.0583,Verified,No
55,INF0018,Influencer_18,Instagram,Nano,925618,32661,6289,1489,CAM00090,3069,31750,Product Launch,40439,0.0437,9.3454,0.0759,Verified,No
56,INF0005,Influencer_5,Facebook,Micro,416192,16073,1068,307,CAM00023,4079,12301,Giveaway,17448,0.0419,2.0157,0.2338,Verified,No
57,INF0019,Influencer_19,Instagram,Micro,906588,31698,2479,904,CAM00091,2795,25658,Giveaway,35081,0.0387,8.18,0.0797,Verified,No
58,INF0005,Influencer_5,Youtube,Micro,517307,11278,575,343,CAM00024,4794,20043,Giveaway,12196,0.0236,3.1809,0.3931,Verified,No
59,INF0019,Influencer_19,Youtube,Micro,296451,5038,988,249,CAM00092,2558,13659,Product Launch,6275,0.0212,4.3397,0.4076,Verified,No
61,INF0006,Influencer_6,Facebook,Macro,594128,27535,1644,555,CAM00026,2452,19533,Product Launch,29734,0.05,6.9662,0.0825,Verified,No
62,INF0019,Influencer_19,Facebook,Macro,83844,1843,113,87,CAM00093,305,2215,Promotion,2043,0.0244,6.2623,0.1493,Verified,No
64,INF0006,Influencer_6,Instagram,Nano,766313,56787,4100,2834,CAM00027,748,42637,Giveaway,63721,0.0832,56.0013,0.0117,Verified,Yes
65,INF0006,Influencer_6,Youtube,Micro,638147,9338,857,432,CAM00028,3524,19375,Giveaway,10627,0.0167,4.498,0.3316,Verified,No
68,INF0020,Influencer_20,Facebook,Micro,270114,23173,4072,666,CAM00096,560,19995,Giveaway,27911,0.1033,34.7054,0.0201,Verified,Yes
69,INF0020,Influencer_20,Youtube,Macro,959447,16101,2475,505,CAM00097,1718,21336,Giveaway,19081,0.0199,11.4191,0.09,Verified,No
71,INF0007,Influencer_7,Instagram,Macro,614333,35766,2272,1552,CAM00031,1197,27730,Promotion,39590,0.0644,22.1662,0.0302,Verified,Yes
74,INF0044,Influencer_44,Instagram,Nano,496518,5015,669,201,CAM00216,1597,4757,Product Launch,5885,0.0119,1.9787,0.2714,Verified,No
75,INF0007,Influencer_7,Youtube,Nano,52663,719,99,26,CAM00032,1419,4539,Product Launch,844,0.016,2.1987,1.6813,Verified,No
76,INF0007,Influencer_7,Facebook,Micro,763002,31572,2034,1503,CAM00033,2009,26343,Product Launch,35109,0.046,12.1125,0.0572,Verified,No
